bank,year,topic,n_sentences,pos,neg,neu,net_positivity
Natwest,2018,0,28,0.08224622160196304,0.18165323138237,0.7361006736755371,-0.09940700978040695
Natwest,2018,1,20,0.11339876800775528,0.06085550785064697,0.8257457613945007,0.05254326015710831
Natwest,2018,2,15,0.2533462345600128,0.014961144886910915,0.7316926121711731,0.2383850896731019
Natwest,2018,3,241,0.1318906545639038,0.2216673195362091,0.6464419364929199,-0.0897766649723053
Natwest,2018,4,26,0.13518108427524567,0.1215934082865715,0.7432254552841187,0.013587675988674164
Natwest,2018,5,5,0.059485115110874176,0.15394671261310577,0.7865681648254395,-0.0944615975022316
Natwest,2018,6,12,0.16053760051727295,0.12962032854557037,0.7098420262336731,0.030917271971702576
Natwest,2018,7,10,0.09826111793518066,0.2246139794588089,0.6771249175071716,-0.12635286152362823
Natwest,2018,8,7,0.10937659442424774,0.19614018499851227,0.6944832801818848,-0.08676359057426453
Natwest,2018,9,43,0.16312536597251892,0.17547890543937683,0.6613957285881042,-0.01235353946685791
Natwest,2019,0,29,0.1778683066368103,0.1049426943063736,0.7171891331672668,0.0729256123304367
Natwest,2019,1,36,0.15507175028324127,0.12363827228546143,0.7212900519371033,0.031433477997779846
Natwest,2019,2,16,0.14170508086681366,0.14078521728515625,0.7175096869468689,0.0009198635816574097
Natwest,2019,3,353,0.15003108978271484,0.18395458161830902,0.6660147905349731,-0.03392349183559418
Natwest,2019,4,33,0.14191946387290955,0.07509130239486694,0.7829892039299011,0.0668281614780426
Natwest,2019,5,22,0.18180634081363678,0.04070708155632019,0.7774866223335266,0.1410992592573166
Natwest,2019,6,8,0.13785432279109955,0.38180118799209595,0.4803445339202881,-0.2439468652009964
Natwest,2019,7,15,0.3004739582538605,0.14711962640285492,0.5524064302444458,0.15335433185100555
Natwest,2019,8,12,0.22566507756710052,0.12407227605581284,0.6502626538276672,0.10159280151128769
Natwest,2019,9,45,0.09119568765163422,0.28929823637008667,0.6195060610771179,-0.19810254871845245
Natwest,2020,0,71,0.0931357741355896,0.15837472677230835,0.7484894394874573,-0.06523895263671875
Natwest,2020,1,61,0.1320260614156723,0.18100914359092712,0.6869649291038513,-0.04898308217525482
Natwest,2020,2,44,0.17531324923038483,0.12304267287254333,0.7016440033912659,0.05227057635784149
Natwest,2020,3,362,0.11679323017597198,0.22217068076133728,0.6610360145568848,-0.1053774505853653
Natwest,2020,4,57,0.1688203364610672,0.10116308927536011,0.7300165295600891,0.06765724718570709
Natwest,2020,5,43,0.2614341676235199,0.1081366315484047,0.6304291486740112,0.1532975360751152
Natwest,2020,6,14,0.06449068337678909,0.08468823879957199,0.8508210182189941,-0.020197555422782898
Natwest,2020,7,36,0.19853778183460236,0.2462959885597229,0.5551662445068359,-0.047758206725120544
Natwest,2020,8,27,0.10397076606750488,0.08362647891044617,0.8124027252197266,0.020344287157058716
Natwest,2020,9,84,0.12933829426765442,0.1349431425333023,0.7357186079025269,-0.005604848265647888
Natwest,2021,0,23,0.33318114280700684,0.01570330560207367,0.6511155366897583,0.31747783720493317
Natwest,2021,1,42,0.28058916330337524,0.057746246457099915,0.6616646647453308,0.22284291684627533
Natwest,2021,2,68,0.32159847021102905,0.030147289857268333,0.6482542157173157,0.2914511803537607
Natwest,2021,3,329,0.27520740032196045,0.03804032504558563,0.6867520809173584,0.23716707527637482
Natwest,2021,4,53,0.3328205347061157,0.012889795936644077,0.6542896032333374,0.31993073876947165
